item_idx,assoc_item_idx,rank,support_count,confidence,lift
59,3113,2,10,0.5,990.93
3113,59,1,10,0.7143,990.93
3113,4326,2,3,0.2143,424.68
2693,7142,1,5,0.1429,198.19
2693,2835,2,3,0.0857,103.4
2693,5946,3,5,0.1429,66.06
3445,5129,1,7,0.5385,878.83
3445,3187,2,3,0.2308,228.68
3445,2608,3,4,0.3077,139.95
5129,3445,1,7,0.4118,878.83
5129,4209,2,3,0.1765,699.48
5129,719,3,4,0.2353,326.42
5129,3187,4,5,0.2941,291.45
5129,1590,5,5,0.2941,189.78
5129,2608,6,4,0.2353,107.02
1625,5879,1,6,0.0531,54.56
1625,5774,2,21,0.1858,39.36
1625,2986,3,4,0.0354,33.87
1625,3782,4,3,0.0265,26.31
1625,3077,5,6,0.0531,11.25
1625,4816,6,3,0.0265,3.07
1625,4609,7,3,0.0265,2.11
2986,5879,1,6,0.2069,212.61
2986,4561,2,6,0.2069,147.19
2986,1625,3,4,0.1379,33.87
5879,2986,1,6,0.2222,212.61
5879,1625,2,6,0.2222,54.56
5879,5774,3,3,0.1111,23.53
2101,3019,1,3,0.375,867.06
3019,2101,1,3,0.25,867.06
3019,5787,2,4,0.3333,711.44
3318,3863,1,5,0.3846,248.18
3863,3318,1,5,0.1163,248.18
3863,5787,2,3,0.0698,148.91
364,6635,1,4,0.25,315.3
6635,2524,1,3,0.1364,378.35
6635,364,2,4,0.1818,315.3
4062,4648,1,10,0.5263,561.66
4062,5327,2,6,0.3158,208.62
4648,4062,1,10,0.3846,561.66
4648,6969,2,4,0.1538,533.58
4648,1349,3,3,0.1154,118.57
5161,529,1,79,0.1242,16.65
5161,2670,2,129,0.2028,12.53
5161,2826,3,17,0.0267,11.24
5161,5815,4,9,0.0142,10.91
5161,3861,5,33,0.0519,9.53
5161,1811,6,4,0.0063,6.23
5161,2134,7,7,0.011,5.99
5161,2549,8,4,0.0063,5.13
5161,113,9,16,0.0252,4.92
5161,2784,10,7,0.011,4.63
2522,4119,1,3,0.4286,3963.71
2522,3222,2,5,0.7143,2202.06
2349,4581,1,3,0.0968,671.27
2349,4693,2,4,0.129,397.79
2349,6095,3,3,0.0968,383.59
2349,756,4,4,0.129,358.01
2349,4434,5,5,0.1613,344.24
2349,368,6,6,0.1935,298.34
2349,5474,7,3,0.0968,298.34
2349,7084,8,8,0.2581,286.41
2349,3513,9,6,0.1935,255.72
2349,5917,10,3,0.0968,244.1
4693,3513,1,3,0.3333,440.41
4693,2349,2,4,0.4444,397.79
5474,3663,1,3,0.3333,1156.08
5474,3664,2,4,0.4444,948.58
5474,3180,3,3,0.3333,924.87
5474,6739,4,3,0.3333,924.87
5474,2086,5,3,0.3333,840.79
5474,5773,6,3,0.3333,770.72
5474,368,7,4,0.4444,685.09
5474,6890,8,4,0.4444,649.03
5474,2940,9,3,0.3333,616.58
5474,4128,10,3,0.3333,544.04
3180,5474,1,3,0.3,924.87
3180,5773,2,3,0.3,693.65
3180,368,3,4,0.4,616.58
3180,3513,4,3,0.3,396.37
3180,6866,5,3,0.3,136.46
1785,2672,1,34,0.1344,49.06
1785,4306,2,9,0.0356,36.56
1785,4559,3,44,0.1739,29.07
1785,2826,4,16,0.0632,26.59
1785,4185,5,7,0.0277,15.67
1785,2784,6,7,0.0277,11.63
1785,6612,7,8,0.0316,10.97
1785,6022,8,5,0.0198,8.44
1785,1097,9,4,0.0158,7.19
1785,6840,10,3,0.0119,6.58
2672,4306,1,4,0.0526,54.09
2672,1785,2,34,0.4474,49.06
2672,4185,3,5,0.0658,37.25
2672,4559,4,11,0.1447,24.19
2672,6840,5,3,0.0395,21.9
2672,5425,6,3,0.0395,14.04
2672,529,7,3,0.0395,5.29
2672,2670,8,3,0.0395,2.44
4306,4185,1,3,0.1111,62.92
4306,2672,2,4,0.1481,54.09
4306,1785,3,9,0.3333,36.56
995,719,1,4,0.2,277.46
995,1590,2,6,0.3,193.58
995,2303,3,4,0.2,129.05
995,2608,4,4,0.2,90.97
6044,7145,1,9,0.0826,48.74
6044,4421,2,3,0.0275,12.94
6044,5066,3,23,0.211,12.2
6044,2458,4,3,0.0275,11.23
6044,1533,5,4,0.0367,6.97
6044,3001,6,3,0.0275,6.82
6044,1291,7,3,0.0275,3.16
6044,2670,8,3,0.0275,1.7
7147,2115,1,3,0.0811,83.32
7147,1894,2,3,0.0811,62.49
